Transaction_id,Currency,Status,Submit Date,Country
TXN-76F1B342-680,CNY,Failed,2023-09-21,Canada
TXN-5F201653-328,AUD,Cancelled,2023-08-06,Sweden
TXN-199D4261-B96,CHF,Failed,2024-11-01,Sweden
TXN-67C768E0-6FE,AED,Processing,2023-06-08,India
TXN-4417FDA8-05B,CHF,Refunded,2024-06-26,Japan
TXN-7C91202C-609,AED,Cancelled,2023-08-26,UAE
TXN-2FEBF51F-89E,AUD,Cancelled,2024-06-06,Netherlands
TXN-14AAC851-44D,INR,Processing,2023-06-19,United Kingdom
TXN-0165EE54-419,AUD,Processing,2023-04-20,Sri Lanka
TXN-2A4A915F-A82,USD,Refunded,2023-05-24,Sri Lanka
TXN-275B12E6-4A1,CNY,Pending,2024-09-10,Japan
TXN-2C04E312-0C9,GBP,Processing,2024-08-02,Switzerland
TXN-EA62D0D3-8E9,SGD,Completed,2023-11-22,Japan
TXN-99C11DAF-4DC,JPY,Failed,2024-10-09,Singapore
TXN-A8DA2486-E1B,EUR,Failed,2023-10-28,United States
TXN-DDB4201A-07E,GBP,Completed,2024-03-08,Netherlands
TXN-A4F89760-C2D,CNY,Failed,2023-06-04,UAE
TXN-5E14ED02-789,JPY,Completed,2023-09-12,Brazil
TXN-863A3910-BF2,CAD,Refunded,2023-06-14,Netherlands
TXN-243313AB-B27,USD,Cancelled,2023-07-02,Australia
TXN-246A9F96-EFE,SGD,Cancelled,2023-11-13,China
TXN-903BC4EC-D9F,JPY,Pending,2024-10-05,Italy
TXN-9F842E32-E6E,JPY,Cancelled,2023-01-05,United States
TXN-18468688-D82,CNY,Completed,2024-10-24,Switzerland
TXN-CC35500C-9B6,EUR,Cancelled,2024-06-03,Sweden
TXN-B29D1511-B82,INR,Completed,2024-06-11,United States
TXN-D9E66786-14D,CNY,Processing,2023-12-01,Spain
TXN-DD3F3CD8-739,AED,Failed,2023-08-08,Italy
TXN-3BBE6914-704,AED,Completed,2024-04-07,Canada
TXN-BF3198FF-630,JPY,Failed,2024-10-20,France
TXN-4A2DF519-028,LKR,Pending,2024-05-17,United Kingdom
TXN-5B084D74-A4F,AUD,Refunded,2023-08-25,Italy
TXN-AAC083B3-460,CAD,Refunded,2024-07-08,Italy
TXN-20FB9E8B-245,JPY,Pending,2024-04-05,UAE
TXN-9A13D328-3BB,CNY,Failed,2024-05-18,Switzerland
TXN-C88589AB-FBB,AED,Failed,2023-06-05,Sri Lanka
TXN-54EA676A-E42,GBP,Pending,2024-07-30,India
TXN-405E77BF-9F3,LKR,Refunded,2023-08-08,Switzerland
TXN-226091D4-89B,LKR,Refunded,2024-03-02,United Kingdom
TXN-86F46CD3-6AE,GBP,Pending,2024-11-26,India
TXN-016A85F6-F22,AED,Cancelled,2024-02-14,China
TXN-62C7FA66-E03,INR,Failed,2024-07-30,Singapore
TXN-3288552E-586,EUR,Refunded,2024-09-10,Italy
TXN-C1DC7C3F-B8A,JPY,Processing,2023-06-21,Sweden
TXN-0D5BF239-2BB,CHF,Failed,2023-03-30,UAE
TXN-CB918731-12A,USD,Pending,2023-02-17,India
TXN-1603A877-2A8,INR,Failed,2024-02-23,Brazil
TXN-1A50668A-0E7,USD,Refunded,2023-05-05,France
TXN-A52FAE36-B9E,AED,Completed,2024-07-06,Italy
TXN-66B67CFA-89E,AUD,Pending,2023-05-16,Netherlands
TXN-2B2C082A-908,AED,Processing,2023-01-25,Switzerland
TXN-5536DE8B-025,SGD,Pending,2023-05-01,France
TXN-B4B83BF3-2B0,USD,Completed,2024-05-31,Sweden
TXN-32552A8C-E0E,SGD,Failed,2024-04-12,Spain
TXN-EC6135D6-812,AED,Refunded,2024-09-14,China
TXN-BB4592BA-29F,JPY,Refunded,2024-02-13,Germany
TXN-C66FEADB-874,SGD,Processing,2024-03-09,Canada
TXN-D21252EA-B6E,CHF,Pending,2023-04-29,Norway
TXN-A8D857B7-C64,INR,Refunded,2023-09-18,Australia
TXN-CF7CA852-F87,LKR,Cancelled,2023-05-07,Switzerland
TXN-C8973E3A-B03,GBP,Cancelled,2024-11-25,China
TXN-F4D7089B-C8B,LKR,Refunded,2024-10-18,Norway
TXN-5C12A144-BC2,LKR,Cancelled,2024-09-12,Japan
TXN-8CF68628-772,USD,Processing,2024-07-12,Australia
TXN-1528C23D-54C,USD,Completed,2024-02-12,United States
TXN-3727291C-680,GBP,Pending,2024-05-30,Spain
TXN-04E4CB44-368,GBP,Completed,2023-12-07,China
TXN-81062FEC-7CF,JPY,Cancelled,2023-07-04,South Africa
TXN-D5CEE326-D28,EUR,Processing,2024-01-03,Spain
TXN-708D381E-6F5,AUD,Processing,2023-05-30,France
TXN-A6B7CC03-6E6,USD,Failed,2023-06-07,Australia
TXN-4DA8E66E-3B3,GBP,Failed,2023-04-01,France
TXN-C866E7C8-D1D,SGD,Processing,2023-01-25,Singapore
TXN-46558E71-8CE,SGD,Failed,2023-11-18,Netherlands
TXN-31E2891C-04E,USD,Refunded,2023-07-31,France
TXN-C535AACC-A1F,USD,Refunded,2023-09-15,Sweden
TXN-6B84B7D3-F46,LKR,Pending,2023-03-27,Australia
TXN-154343A8-421,SGD,Pending,2024-10-23,Switzerland
TXN-B0D8633C-A26,INR,Refunded,2023-02-26,United States
TXN-B26626CB-BDA,JPY,Processing,2023-03-10,Japan
TXN-684E1498-2EA,SGD,Processing,2024-11-30,Japan
TXN-5F635681-277,USD,Failed,2023-07-19,Netherlands
TXN-BB1016E6-26C,CAD,Refunded,2023-09-06,Singapore
TXN-B375059E-81D,USD,Pending,2024-08-28,Singapore
TXN-0C82BE00-B62,INR,Failed,2023-02-06,Singapore
TXN-D5896C50-D2E,CAD,Refunded,2023-06-20,Italy
TXN-EDE6F4D4-72F,GBP,Pending,2023-09-27,Singapore
